Fluid Dirichlet with solid Neumann setting
step=0, pc_iterations=5.
step=1, pc_iterations=6.
step=2, pc_iterations=5.
step=3, pc_iterations=4.
step=4, pc_iterations=4.
step=5, pc_iterations=4.
step=6, pc_iterations=4.
step=7, pc_iterations=4.
step=8, pc_iterations=3.
step=9, pc_iterations=3.
step=10, pc_iterations=3.
step=11, pc_iterations=2.
step=12, pc_iterations=2.
step=13, pc_iterations=3.
step=14, pc_iterations=3.
step=15, pc_iterations=2.
step=16, pc_iterations=2.
step=17, pc_iterations=2.
step=18, pc_iterations=2.
step=19, pc_iterations=2.
step=20, pc_iterations=2.
step=21, pc_iterations=2.
step=22, pc_iterations=2.
step=23, pc_iterations=2.
step=24, pc_iterations=2.
step=25, pc_iterations=0.
step=26, pc_iterations=0.
step=27, pc_iterations=0.
step=28, pc_iterations=0.
step=29, pc_iterations=0.
step=30, pc_iterations=0.
step=31, pc_iterations=0.
step=32, pc_iterations=0.
step=33, pc_iterations=0.
step=34, pc_iterations=0.
step=35, pc_iterations=0.
step=36, pc_iterations=0.
step=37, pc_iterations=0.
step=38, pc_iterations=0.
step=39, pc_iterations=0.
step=40, pc_iterations=0.
step=41, pc_iterations=0.
step=42, pc_iterations=0.
step=43, pc_iterations=0.
step=44, pc_iterations=0.
step=45, pc_iterations=0.
step=46, pc_iterations=0.
step=47, pc_iterations=0.
step=48, pc_iterations=0.
step=49, pc_iterations=0.
step=50, pc_iterations=0.
step=51, pc_iterations=0.
step=52, pc_iterations=0.
step=53, pc_iterations=0.
step=54, pc_iterations=0.
step=55, pc_iterations=0.
step=56, pc_iterations=0.
step=57, pc_iterations=0.
step=58, pc_iterations=0.
step=59, pc_iterations=0.
step=60, pc_iterations=0.
step=61, pc_iterations=0.
step=62, pc_iterations=0.
step=63, pc_iterations=0.
step=64, pc_iterations=0.
step=65, pc_iterations=0.
step=66, pc_iterations=0.
step=67, pc_iterations=0.
step=68, pc_iterations=0.
step=69, pc_iterations=0.
step=70, pc_iterations=0.
step=71, pc_iterations=0.
step=72, pc_iterations=0.
step=73, pc_iterations=0.
step=74, pc_iterations=0.
step=75, pc_iterations=0.
step=76, pc_iterations=0.
step=77, pc_iterations=0.
step=78, pc_iterations=0.
step=79, pc_iterations=0.
step=80, pc_iterations=0.
step=81, pc_iterations=0.
step=82, pc_iterations=0.
step=83, pc_iterations=0.
step=84, pc_iterations=0.
step=85, pc_iterations=0.
step=86, pc_iterations=0.
step=87, pc_iterations=0.
step=88, pc_iterations=0.
step=89, pc_iterations=0.
step=90, pc_iterations=0.
step=91, pc_iterations=0.
step=92, pc_iterations=0.
step=93, pc_iterations=0.
step=94, pc_iterations=0.
step=95, pc_iterations=0.
step=96, pc_iterations=0.
step=97, pc_iterations=0.
step=98, pc_iterations=0.
step=99, pc_iterations=0.
